time;lv Rx;lv Ry;lv Rz;lv Vx;lv Vy;lv Vz;sc Rx;sc Ry;sc Rz;sc Vx;sc Vy;sc Vz;rel dist;rel vel;stiff force
0.36;5736716.989840117;-936279.5625970773;3291583.6298149363;-3437.9075441524856;2125.3193655200457;6596.2957674801955;5736716.893915771;-936279.5032614184;3291583.8140567197;-3438.1106670550753;2125.445010693284;6596.685905403589;0.2160260063917889;0.4574420426501897;0.0
0.37;5736682.610381092;-936258.3093408184;3291649.5925525185;-3437.984260870699;2125.331886217073;6596.251748787772;5736682.512425517;-936258.2487487077;3291649.780695681;-3438.1873837719895;2125.457531389509;6596.641886708677;0.22060042656913897;0.45744203973056985;0.0
0.38;5736648.230154902;-936237.0559593539;3291715.554849909;-3438.0609771291493;2125.34440662988;6596.207729213235;5736648.130168097;-936236.9941107916;3291715.746894451;-3438.2641000291123;2125.470051801496;6596.5978671316;0.22517484709608285;0.4574420367495954;0.0
0.39;5736613.849161551;-936215.8024526867;3291781.5167071;-3438.1376929278244;2125.356926758464;6596.163708756591;5736613.747143517;-936215.7393476727;3291781.7126530204;-3438.3408158264333;2125.4825719292444;6596.553846672365;0.22974926725785455;0.4574420337087726;0.0
0.4;5736579.467401044;-936194.5488208197;3291847.4781240816;-3438.214408266715;2125.3694466028246;6596.119687417848;5736579.363351782;-936194.484459354;3291847.677971381;-3438.417531163943;2125.495091772752;6596.509825330975;0.23432368740322895;0.4574420306047491;0.0
0.41000000000000003;5736545.084873388;-936173.2950637557;3291913.4391008453;-3438.291123145811;2125.381966162959;6596.075665197008;5736544.978792896;-936173.2294458381;3291913.6428495245;-3438.4942460416296;2125.507611332017;6596.46580310744;0.23889810839127204;0.45744202744104717;0.0
0.42;5736510.701578584;-936152.0411814974;3291979.3996373825;-3438.367837565101;2125.3944854388665;6596.031642094079;5736510.593466863;-936151.9743071282;3291979.6072874404;-3438.5709604594836;2125.520130607038;6596.421780001762;0.24347252810752293;0.45744202421582064;0.0
0.43;5736476.317516637;-936130.7871740478;3292045.359733684;-3438.4445515245757;2125.4070044305454;6595.987618109068;5736476.207373688;-936130.7190432269;3292045.571285121;-3438.6476744174947;2125.5326495978134;6596.37775601395;0.2480469482528973;0.4574420209287428;0.0
0.44;5736441.9326875545;-936109.5330414098;3292111.3193897414;-3438.5212650242242;2125.419523137993;6595.943593241978;5736441.820513376;-936109.4636541372;3292111.5348425577;-3438.724387915652;2125.5451683043407;6596.333731144008;0.25262136881181685;0.4574420175812879;0.0
0.45;5736407.547091339;-936088.278783586;3292177.278605546;-3438.5979780640364;2125.4320415612083;6595.899567492817;5736407.432885931;-936088.2081398618;3292177.4979597414;-3438.8011009539464;2125.557686726619;6596.289705391943;0.2571957893387607;0.457442014173209;0.0
